"Points:0","Points:1","Points:2"
7.25,0.5,239.00093
7.25,0.5,238.95093
7.25,0.5,238.90092
7.25,0.5,238.85092
7.25,0.5,238.80092
7.25,0.5,238.75093
7.25,0.5,238.70093
7.25,0.5,238.65092
7.25,0.5,238.60092
7.25,0.5,238.55092
7.25,0.5,238.50093
7.25,0.5,238.45093
7.25,0.5,238.40092
7.25,0.5,238.35092
7.25,0.5,238.30092
7.25,0.5,238.25093
7.25,0.5,238.20093
7.25,0.5,238.15092
7.25,0.5,238.10092
7.25,0.5,238.05092
7.25,0.5,238.00093
7.25,0.5,237.95093
7.25,0.5,237.90092
7.25,0.5,237.85092
7.25,0.5,237.80092
7.25,0.5,237.75093
7.25,0.5,237.70093
7.25,0.5,237.65092
7.75,0.5,239.41988
7.75,0.5,239.36988
7.75,0.5,239.31988
7.75,0.5,239.26988
7.75,0.5,239.21988
7.75,0.5,239.16988
7.75,0.5,239.11988
7.75,0.5,239.06988
7.75,0.5,239.01988
7.75,0.5,238.96988
7.75,0.5,238.91988
7.75,0.5,238.86988
7.75,0.5,238.81988
7.75,0.5,238.76988
7.75,0.5,238.71988
7.75,0.5,238.66988
7.75,0.5,238.61988
7.75,0.5,238.56988
7.75,0.5,238.51988
7.75,0.5,238.46988
7.75,0.5,238.41988
7.75,0.5,238.36988
7.75,0.5,238.31988
7.75,0.5,238.26988
7.75,0.5,238.21988
7.75,0.5,238.16988
7.75,0.5,238.11988
7.75,0.5,238.06988
7.75,0.5,238.01988
7.75,0.5,237.96988
7.75,0.5,237.91988
7.75,0.5,237.86988
7.75,0.5,237.81988
7.75,0.5,237.76988
7.75,0.5,237.71988
7.75,0.5,237.66988
8.25,0.5,239.43926
8.25,0.5,239.38926
8.25,0.5,239.33926
8.25,0.5,239.28926
8.25,0.5,239.23927
8.25,0.5,239.18926
8.25,0.5,239.13926
8.25,0.5,239.08926
8.25,0.5,239.03926
8.25,0.5,238.98927
8.25,0.5,238.93926
8.25,0.5,238.88926
8.25,0.5,238.83926
8.25,0.5,238.78926
8.25,0.5,238.73927
8.25,0.5,238.68926
8.25,0.5,238.63926
8.25,0.5,238.58926
8.25,0.5,238.53926
8.25,0.5,238.48927
8.25,0.5,238.43926
8.25,0.5,238.38926
8.25,0.5,238.33926
8.25,0.5,238.28926
